"expen","age_ref","sex_ref","white","black","american_indian","asian","other","multi_race","welf_reic","welf_not_reiv","fwagexm","year","quarter"
821.72537,54,2,0,0,0,1,0,0,0,1,74147.2,2017,1
551.11,54,2,1,0,0,0,0,0,0,1,73520.8,2017,1
486.42,35,1,0,0,0,1,0,0,0,1,58500,2017,1
480.93,35,1,0,0,0,1,0,0,0,1,58500,2017,1
386.26,56,2,1,0,0,0,0,0,0,1,67000,2017,1
471.03256,56,2,1,0,0,0,0,0,0,1,67000,2017,1
413,41,1,1,0,0,0,0,0,0,1,90000,2017,1
506.55915,41,1,0,0,0,0,0,1,0,1,90000,2017,1
237.75,34,1,0,0,0,0,0,1,0,1,45000,2017,1
325.36,34,1,0,0,0,0,0,1,0,1,45000,2017,1
365.99196,43,1,1,0,0,0,0,0,0,1,74931.8,2017,1
415.75303,43,1,1,0,0,0,0,0,0,1,76003.2,2017,1
570.64,37,2,0,1,0,0,0,0,0,1,197651.6,2017,1
204.54,37,2,0,1,0,0,0,0,0,1,206955.6,2017,1
414.46,57,2,1,0,0,0,0,0,0,1,77000,2017,1
1115.35316,57,2,1,0,0,0,0,0,0,1,77000,2017,1
291.78518,69,2,0,1,0,0,0,0,0,1,81531,2017,1
90.39,51,1,1,0,0,0,0,0,0,1,234730.8,2017,1
